id_transaction,id_client,id_agent,type_transaction,montant,solde_avant,solde_apres,timestamp_transaction,pays,ville,canal,est_annulee,niveau_kyc,age_client,id_appareil,nombre_transactions_24h,est_fraude
2216,CL00555,,paiement_facture,1600,262120,260520,"2024-03-10 20:58:26",Benin,Porto-Novo,USSD,0,2,44,DV01434,1,0
1663,CL00289,,transfert,500,280260,279760,"2024-02-10 02:50:09",Benin,Bohicon,application_mobile,0,3,24,DV01219,8,0
3028,CL00659,AG0243,retrait,1800,50880,49080,"2024-02-21 06:34:25",Benin,Djougou,agent,0,3,40,DV01370,4,0
4344,CL00871,AG0087,retrait,1800,394750,392950,"2024-01-31 04:01:04",Benin,Natitingou,agent,0,2,65,DV01183,6,0
2681,CL00776,,transfert,4200,144880,140680,"2024-03-20 06:08:12",Benin,Parakou,application_mobile,0,1,67,DV01840,5,0
1124,CL01074,,transfert,2400,485960,483560,"2024-02-05 07:09:25",Benin,Abomey-Calavi,application_mobile,0,1,23,DV00556,4,0
3762,CL01404,AG0239,depot,1600,54450,56050,"2024-01-01 19:37:22",Benin,Porto-Novo,agent,0,3,18,DV00849,4,0
1536,CL00259,,depot,5900,337010,342910,"2024-03-22 16:03:40",Benin,Natitingou,application_mobile,0,3,23,DV00017,1,0
2945,CL01315,AG0105,depot,6300,420060,426360,"2024-03-09 15:44:41",Benin,Djougou,agent,0,1,28,DV01955,2,0
2988,CL00268,AG0311,depot,2100,135420,137520,"2024-01-25 18:29:20",Benin,Abomey-Calavi,agent,0,3,36,DV01850,6,0
4292,CL01439,,retrait,1500,287910,286410,"2024-02-11 13:47:53",Benin,Natitingou,API_partenaire,0,2,38,DV01329,39,1
4343,CL00176,AG0033,depot,1200,408740,409940,"2024-01-29 07:51:31",Benin,Natitingou,agent,0,2,68,DV01728,2,0
4425,CL01476,,transfert,700,271870,271170,"2024-03-17 15:00:53",Benin,Parakou,application_mobile,0,1,34,DV00813,6,0
7942,CL00258,,transfert,1300,143010,141710,"2024-03-10 05:00:41",Benin,Porto-Novo,USSD,0,3,26,DV01325,2,0
4998,CL01163,,transfert,4600,308760,302659.66,"2024-01-15 20:54:54",Benin,Parakou,application_mobile,0,1,62,DV01638,10,0
2749,CL01340,AG0291,depot,4400,307320,311720,"2024-01-11 14:16:48",Benin,Cotonou,agent,0,3,67,DV01188,2,0
2303,CL01107,,transfert,1100,252880,251780,"2024-03-12 20:28:44",Benin,Natitingou,application_mobile,0,1,20,DV01387,40,0
3933,CL00236,AG0162,retrait,2100,361410,359310,"2024-03-06 21:05:40",Benin,Djougou,agent,0,1,18,DV01371,5,0
5957,CL00545,,transfert,4100,286220,282120,"2024-03-16 19:18:20",Benin,Porto-Novo,application_mobile,0,1,22,DV01947,2,0
6132,CL00850,AG0264,paiement_facture,3500,78880,75380,"2024-01-30 08:49:57",Benin,Natitingou,agent,1,1,21,DV01433,2,0
7597,CL00230,,transfert,3300,231020,227720,"2024-01-16 15:12:45",Benin,Cotonou,application_mobile,0,2,19,DV00160,2,0
795,CL00479,,transfert,2000,201820,199820,"2024-02-29 11:26:37",Benin,Parakou,USSD,0,1,59,DV01349,3,0
3164,CL00082,AG0234,depot,9700,82310,92010,"2024-03-16 01:51:23",Benin,Cotonou,agent,0,1,48,DV00145,4,0
7941,CL00792,AG0349,retrait,1500,1270,-230,"2024-02-08 00:52:40",Benin,Bohicon,agent,0,1,63,DV01263,5,0
3182,CL00025,,transfert,1500,361790,360290,"2024-01-12 20:11:03",Benin,Parakou,USSD,0,2,38,DV00273,7,0
764,CL01468,,transfert,1500,277410,275910,"2024-03-08 00:37:27",Benin,Cotonou,USSD,0,3,61,DV00414,28,0
3079,CL01067,,paiement_facture,700,225170,224470,"2024-01-24 17:58:36",Benin,Parakou,application_mobile,0,3,23,DV01639,1,0
812,CL01056,,transfert,3200,450960,447760,"2024-01-15 10:11:21",Benin,Abomey-Calavi,application_mobile,0,1,48,DV00620,2,0
7260,CL01156,AG0100,depot,4400,490250,494650,"2024-01-29 02:19:35",Benin,Porto-Novo,agent,0,1,54,DV00604,1,0
6932,CL00738,AG0261,retrait,1000,312620,311620,"2024-02-01 20:44:47",Benin,Bohicon,agent,0,1,49,DV01253,2,0
6827,CL00001,AG0148,retrait,2100,225700,223600,"2024-01-07 04:29:15",Benin,Djougou,agent,1,2,56,DV00860,6,0
1043,CL01050,,transfert,1700,225540,223840,"2024-02-14 13:19:39",Benin,Parakou,USSD,0,3,23,DV00880,3,0
5319,CL00012,,transfert,1700,212350,210650,"2024-01-26 03:52:23",Benin,Cotonou,application_mobile,0,2,28,DV01811,2,0
488,CL00488,AG0227,depot,600,52160,52760,"2024-01-08 17:01:36",Benin,Cotonou,agent,0,2,40,DV01142,1,0
1018,CL00865,AG0365,retrait,4400,73780,69380,"2024-01-29 11:39:09",Benin,Djougou,agent,0,2,18,DV01480,2,0
2816,CL00920,,transfert,2700,193470,190770,"2024-01-05 07:35:24",Benin,Natitingou,USSD,0,1,68,DV01107,3,0
5364,CL00615,AG0135,depot,1900,469150,471050,"2024-02-16 04:06:19",Benin,Cotonou,agent,0,2,56,DV01312,4,0
3363,CL00252,,paiement_facture,1600,408920,407320,"2024-03-14 01:17:29",Benin,Bohicon,USSD,0,1,23,DV00365,5,0
5166,CL01422,AG0159,depot,5200,18940,24140,"2024-03-06 22:03:18",Benin,Porto-Novo,agent,0,3,49,DV01688,2,0
6399,CL00556,,paiement_facture,3300,432130,428830,"2024-02-29 04:04:25",Benin,Porto-Novo,application_mobile,0,1,37,DV00865,4,0
4982,CL00973,AG0093,depot,1200,227810,229010,"2024-01-15 07:09:50",Benin,Natitingou,agent,0,3,25,DV00458,3,0
6229,CL00979,,transfert,1900,407940,406040,"2024-01-10 22:29:22",Benin,Abomey-Calavi,application_mobile,0,2,39,DV00521,7,0
2922,CL00850,AG0306,depot,3300,126460,129760,"2024-01-29 01:29:22",Benin,Bohicon,agent,0,1,21,DV00850,2,0
4020,CL01180,AG0137,depot,4500,231750,236250,"2024-03-06 22:06:31",Benin,Abomey-Calavi,agent,0,2,34,DV00719,6,0
7000,CL00540,AG0118,retrait,1300,141460,140160,"2024-01-07 07:52:20",Benin,Cotonou,agent,0,3,48,DV00325,5,0
1323,CL00801,AG0066,retrait,4400,481000,476600,"2024-02-16 13:00:11",Benin,Djougou,agent,0,2,27,DV01302,8,0
7732,CL01202,,paiement_facture,7400,191650,184250,"2024-01-22 00:31:45",Benin,Porto-Novo,USSD,0,1,69,DV00280,2,0
2253,CL00238,AG0060,depot,2300,102000,104300,"2024-03-31 21:04:01",Benin,Natitingou,agent,1,1,19,DV00398,2,0
6655,CL01291,,transfert,2600,344810,342210,"2024-02-22 06:59:39",Benin,Djougou,API_partenaire,0,1,18,DV01203,1,0
7245,CL01467,AG0002,depot,500,415530,416030,"2024-01-14 20:41:31",Benin,Djougou,agent,0,1,39,DV01931,1,0
867,CL00851,AG0219,depot,3400,39490,42890,"2024-02-07 10:00:27",Benin,Natitingou,agent,0,3,18,DV01407,1,0
5592,CL00615,AG0204,depot,4900,179980,184880,"2024-02-26 11:51:34",Benin,Djougou,agent,0,2,56,DV01327,2,0
