id_transaction,id_client,id_agent,type_transaction,montant,solde_avant,solde_apres,timestamp_transaction,pays,ville,canal,est_annulee,niveau_kyc,age_client,id_appareil,nombre_transactions_24h,est_fraude
2216,CL00555,,paiement_facture,1600.0,262120.0,260520.0,2024-03-10 20:58:26,Benin,Porto-Novo,USSD,0,2,44,DV01434,1,0
2583,CL00622,,transfert,5200.0,194800.0,189600.0,2024-03-11 10:12:55,Togo,Djougou,API_partenaire,0,3,66,DV00041,3,0
1663,CL00289,,transfert,500.0,280260.0,279760.0,2024-02-10 02:50:09,Benin,Bohicon,application_mobile,0,3,24,DV01219,8,0
3028,CL00659,AG0243,retrait,1800.0,50880.0,49080.0,2024-02-21 06:34:25,Benin,Djougou,agent,0,3,40,DV01370,4,0
4344,CL00871,AG0087,retrait,1800.0,394750.0,392950.0,2024-01-31 04:01:04,Benin,Natitingou,agent,0,2,65,DV01183,6,0
2681,CL00776,,transfert,4200.0,144880.0,140680.0,2024-03-20 06:08:12,Benin,Parakou,application_mobile,0,1,67,DV01840,5,0
1766,CL01216,AG0245,depot,5600.0,393530.0,399130.0,2024-03-11 05:59:04,Burkina Faso,Bohicon,agent,0,1,27,DV01070,1,0
1124,CL01074,,transfert,2400.0,485960.0,483560.0,2024-02-05 07:09:25,Benin,Abomey-Calavi,application_mobile,0,1,23,DV00556,4,0
4055,CL00198,AG0163,depot,1600.0,389390.0,390990.0,2024-01-24 19:05:33,Togo,Abomey-Calavi,agent,0,3,58,DV01980,2,0
3762,CL01404,AG0239,depot,1600.0,54450.0,56050.0,2024-01-01 19:37:22,Benin,Porto-Novo,agent,0,3,18,DV00849,4,0
1536,CL00259,,depot,5900.0,337010.0,342910.0,2024-03-22 16:03:40,Benin,Natitingou,application_mobile,0,3,23,DV00017,1,0
2945,CL01315,AG0105,depot,6300.0,420060.0,426360.0,2024-03-09 15:44:41,Benin,Djougou,agent,0,1,28,DV01955,2,0
2988,CL00268,AG0311,depot,2100.0,135420.0,137520.0,2024-01-25 18:29:20,Benin,Abomey-Calavi,agent,0,3,36,DV01850,6,0
4292,CL01439,,retrait,1500.0,287910.0,286410.0,2024-02-11 13:47:53,Benin,Natitingou,API_partenaire,0,2,38,DV01329,39,1
4343,CL00176,AG0033,depot,1200.0,408740.0,409940.0,2024-01-29 07:51:31,Benin,Natitingou,agent,0,2,68,DV01728,2,0
4425,CL01476,,transfert,700.0,271870.0,271170.0,2024-03-17 15:00:53,Benin,Parakou,application_mobile,0,1,34,DV00813,6,0
7942,CL00258,,transfert,1300.0,143010.0,141710.0,2024-03-10 05:00:41,Benin,Porto-Novo,USSD,0,3,26,DV01325,2,0
4998,CL01163,,transfert,4600.0,308760.0,302659.66,2024-01-15 20:54:54,Benin,Parakou,application_mobile,0,1,62,DV01638,10,0
2749,CL01340,AG0291,depot,4400.0,307320.0,311720.0,2024-01-11 14:16:48,Benin,Cotonou,agent,0,3,67,DV01188,2,0
2303,CL01107,,transfert,1100.0,252880.0,251780.0,2024-03-12 20:28:44,Benin,Natitingou,application_mobile,0,1,20,DV01387,40,0
3933,CL00236,AG0162,retrait,2100.0,361410.0,359310.0,2024-03-06 21:05:40,Benin,Djougou,agent,0,1,18,DV01371,5,0
5957,CL00545,,transfert,4100.0,286220.0,282120.0,2024-03-16 19:18:20,Benin,Porto-Novo,application_mobile,0,1,22,DV01947,2,0
6132,CL00850,AG0264,paiement_facture,3500.0,78880.0,75380.0,2024-01-30 08:49:57,Benin,Natitingou,agent,1,1,21,DV01433,2,0
7597,CL00230,,transfert,3300.0,231020.0,227720.0,2024-01-16 15:12:45,Benin,Cotonou,application_mobile,0,2,19,DV00160,2,0
795,CL00479,,transfert,2000.0,201820.0,199820.0,2024-02-29 11:26:37,Benin,Parakou,USSD,0,1,59,DV01349,3,0
3164,CL00082,AG0234,depot,9700.0,82310.0,92010.0,2024-03-16 01:51:23,Benin,Cotonou,agent,0,1,48,DV00145,4,0
7941,CL00792,AG0349,retrait,1500.0,1270.0,-230.0,2024-02-08 00:52:40,Benin,Bohicon,agent,0,1,63,DV01263,5,0
3182,CL00025,,transfert,1500.0,361790.0,360290.0,2024-01-12 20:11:03,Benin,Parakou,USSD,0,2,38,DV00273,7,0
764,CL01468,,transfert,1500.0,277410.0,275910.0,2024-03-08 00:37:27,Benin,Cotonou,USSD,0,3,61,DV00414,28,0
3079,CL01067,,paiement_facture,700.0,225170.0,224470.0,2024-01-24 17:58:36,Benin,Parakou,application_mobile,0,3,23,DV01639,1,0
812,CL01056,,transfert,3200.0,450960.0,447760.0,2024-01-15 10:11:21,Benin,Abomey-Calavi,application_mobile,0,1,48,DV00620,2,0
7260,CL01156,AG0100,depot,4400.0,490250.0,494650.0,2024-01-29 02:19:35,Benin,Porto-Novo,agent,0,1,54,DV00604,1,0
6932,CL00738,AG0261,retrait,1000.0,312620.0,311620.0,2024-02-01 20:44:47,Benin,Bohicon,agent,0,1,49,DV01253,2,0
1619,CL00355,AG0007,retrait,2800.0,358850.0,356050.0,2024-03-31 09:21:11,Togo,Abomey-Calavi,agent,0,3,55,DV01747,7,0
6827,CL00001,AG0148,retrait,2100.0,225700.0,223600.0,2024-01-07 04:29:15,Benin,Djougou,agent,1,2,56,DV00860,6,0
1043,CL01050,,transfert,1700.0,225540.0,223840.0,2024-02-14 13:19:39,Benin,Parakou,USSD,0,3,23,DV00880,3,0
5319,CL00012,,transfert,1700.0,212350.0,210650.0,2024-01-26 03:52:23,Benin,Cotonou,application_mobile,0,2,28,DV01811,2,0
4795,CL00048,,transfert,4300.0,55530.0,51230.0,2024-02-14 05:47:57,Burkina Faso,Djougou,application_mobile,0,2,35,DV00698,3,1
488,CL00488,AG0227,depot,600.0,52160.0,52760.0,2024-01-08 17:01:36,Benin,Cotonou,agent,0,2,40,DV01142,1,0
1018,CL00865,AG0365,retrait,4400.0,73780.0,69380.0,2024-01-29 11:39:09,Benin,Djougou,agent,0,2,18,DV01480,2,0
2816,CL00920,,transfert,2700.0,193470.0,190770.0,2024-01-05 07:35:24,Benin,Natitingou,USSD,0,1,68,DV01107,3,0
2717,CL00421,AG0186,depot,2600.0,180550.0,183150.0,2024-02-08 15:13:37,Nigeria,Cotonou,agent,0,2,56,DV01975,3,0
5364,CL00615,AG0135,depot,1900.0,469150.0,471050.0,2024-02-16 04:06:19,Benin,Cotonou,agent,0,2,56,DV01312,4,0
2930,CL00506,,transfert,3700.0,176320.0,172620.0,2024-02-25 19:01:40,Togo,Parakou,USSD,0,1,20,DV01984,4,0
3363,CL00252,,paiement_facture,1600.0,408920.0,407320.0,2024-03-14 01:17:29,Benin,Bohicon,USSD,0,1,23,DV00365,5,0
5166,CL01422,AG0159,depot,5200.0,18940.0,24140.0,2024-03-06 22:03:18,Benin,Porto-Novo,agent,0,3,49,DV01688,2,0
1076,CL00070,,depot,3900.0,134350.0,138250.0,2024-02-04 20:15:38,Togo,Cotonou,application_mobile,0,2,19,DV01850,3,0
6399,CL00556,,paiement_facture,3300.0,432130.0,428830.0,2024-02-29 04:04:25,Benin,Porto-Novo,application_mobile,0,1,37,DV00865,4,0
4982,CL00973,AG0093,depot,1200.0,227810.0,229010.0,2024-01-15 07:09:50,Benin,Natitingou,agent,0,3,25,DV00458,3,0
6229,CL00979,,transfert,1900.0,407940.0,406040.0,2024-01-10 22:29:22,Benin,Abomey-Calavi,application_mobile,0,2,39,DV00521,7,0
2922,CL00850,AG0306,depot,3300.0,126460.0,129760.0,2024-01-29 01:29:22,Benin,Bohicon,agent,0,1,21,DV00850,2,0
4020,CL01180,AG0137,depot,4500.0,231750.0,236250.0,2024-03-06 22:06:31,Benin,Abomey-Calavi,agent,0,2,34,DV00719,6,0
4332,CL00730,,transfert,1000.0,265870.0,264870.0,2024-02-11 21:33:47,Nigeria,Porto-Novo,application_mobile,0,2,45,DV00742,3,0
7000,CL00540,AG0118,retrait,1300.0,141460.0,140160.0,2024-01-07 07:52:20,Benin,Cotonou,agent,0,3,48,DV00325,5,0
1323,CL00801,AG0066,retrait,4400.0,481000.0,476600.0,2024-02-16 13:00:11,Benin,Djougou,agent,0,2,27,DV01302,8,0
7732,CL01202,,paiement_facture,7400.0,191650.0,184250.0,2024-01-22 00:31:45,Benin,Porto-Novo,USSD,0,1,69,DV00280,2,0
2253,CL00238,AG0060,depot,2300.0,102000.0,104300.0,2024-03-31 21:04:01,Benin,Natitingou,agent,1,1,19,DV00398,2,0
6655,CL01291,,transfert,2600.0,344810.0,342210.0,2024-02-22 06:59:39,Benin,Djougou,API_partenaire,0,1,18,DV01203,1,0
7245,CL01467,AG0002,depot,500.0,415530.0,416030.0,2024-01-14 20:41:31,Benin,Djougou,agent,0,1,39,DV01931,1,0
867,CL00851,AG0219,depot,3400.0,39490.0,42890.0,2024-02-07 10:00:27,Benin,Natitingou,agent,0,3,18,DV01407,1,0
5592,CL00615,AG0204,depot,4900.0,179980.0,184880.0,2024-02-26 11:51:34,Benin,Djougou,agent,0,2,56,DV01327,2,0
2466,CL01256,AG0147,depot,5700.0,334140.0,339840.0,2024-03-22 11:44:09,Benin,Parakou,agent,0,1,64,DV01536,1,0
466,CL00922,AG0109,retrait,1200.0,368240.0,367040.0,2024-01-20 18:53:29,Benin,Djougou,agent,0,2,40,DV00290,6,0
2883,CL00187,,transfert,1100.0,412610.0,411510.0,2024-01-05 11:36:50,Benin,Abomey-Calavi,application_mobile,1,1,37,DV00257,5,0
4962,CL00749,,paiement_facture,1000.0,326430.0,325430.0,2024-02-20 10:59:10,Benin,Bohicon,application_mobile,0,1,37,DV00245,2,0
7043,CL00950,AG0172,paiement_facture,2800.0,184310.0,181510.0,2024-03-22 07:06:28,Benin,Parakou,agent,0,3,22,DV00262,2,0
6241,CL00258,,transfert,6700.0,238160.0,231460.0,2024-02-17 19:57:08,Benin,Cotonou,API_partenaire,0,3,26,DV01037,7,0
5448,CL01166,,transfert,1900.0,277560.0,275660.0,2024-02-03 19:14:00,Benin,Natitingou,USSD,0,2,35,DV00852,4,0
1503,CL00830,AG0008,retrait,1000.0,24410.0,23410.0,2024-02-05 10:42:45,Benin,Abomey-Calavi,agent,0,2,22,DV00370,3,0
3916,CL01344,AG0381,paiement_facture,900.0,33650.0,32750.0,2024-02-15 21:12:01,Benin,Natitingou,agent,0,1,34,DV00151,1,0
3263,CL01037,AG0056,retrait,4300.0,369360.0,365060.0,2024-03-11 11:13:12,Benin,Bohicon,agent,0,3,58,DV00529,1,0
264,CL01102,,transfert,900.0,402990.0,402090.0,2024-01-31 02:08:07,Benin,Porto-Novo,USSD,0,2,54,DV01202,10,0
3807,CL00387,,transfert,4500.0,67250.0,62750.0,2024-03-28 22:58:20,Benin,Cotonou,application_mobile,0,1,63,DV00886,4,0
4085,CL01395,,retrait,3000.0,278890.0,275890.0,2024-01-06 02:34:51,Benin,Porto-Novo,API_partenaire,0,1,51,DV00997,3,0
7840,CL01364,,paiement_facture,1200.0,203530.0,202330.0,2024-03-11 15:18:40,Benin,Cotonou,application_mobile,0,2,66,DV01866,1,0
1812,CL00041,AG0011,depot,4700.0,298210.0,302910.0,2024-03-12 14:30:02,Benin,Porto-Novo,agent,0,3,20,DV00403,4,0
1145,CL01104,AG0377,retrait,4500.0,466390.0,461890.0,2024-01-08 08:03:00,Benin,Bohicon,agent,0,2,53,DV01734,1,0
5828,CL01469,,transfert,11200.0,182380.0,171180.0,2024-01-18 12:23:05,Benin,Cotonou,USSD,0,2,41,DV01295,4,0
2150,CL00457,AG0300,retrait,3000.0,210610.0,207610.0,2024-03-21 10:16:54,Benin,Bohicon,agent,1,2,32,DV00346,4,0
3930,CL00427,AG0351,depot,2500.0,362040.0,364540.0,2024-01-17 06:55:13,Benin,Abomey-Calavi,agent,0,3,42,DV00384,3,0
6320,CL00780,,retrait,900.0,103200.0,102300.0,2024-01-08 12:02:52,Benin,Porto-Novo,agent,0,2,58,DV00300,6,0
3291,CL00261,AG0165,retrait,3000.0,151660.0,148660.0,2024-01-31 02:18:59,Benin,Cotonou,agent,0,2,46,DV00798,5,0
